,text,neutral,positive,negative,narrator,y,text_french
0,"Τη μάνητα, θεά, τραγούδα μας του ξακουστού Αχιλλέα,",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]","La divinité, déesse, chante-nous le célèbre Achille,"
1,"ανάθεμα τη, πίκρες που 'δωκε στους Αχαιούς περίσσιες",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Putain, les amants qu'il a donnés aux Achéens."
2,και πλήθος αντρειωμένες έστειλε ψυχές στον Άδη κάτω,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",Et une foule d'hommes a envoyé des âmes dans le Hadès en bas.
3,"παλικαριών, στους σκύλους ρίχνοντας να φάνε τα κορμιά τους",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",Les chiens se bouffent le corps.
4,και στα όρνια ολούθε —έτσι το θέλησε να γίνει τότε ο Δίας—,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]",C'est comme ça qu'il a voulu être Jupiter.
5,"απ᾿ τη στιγμή που πρωτοπιάστηκαν και χώρισαν οι δυο τους,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","une fois qu'ils ont été pris et séparés,"
6,του Ατρέα ο γιος ο στρατοκράτορας κι ο μέγας Αχιλλέας.,0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","Le fils d'Atrea, le maréchal et le grand Achille."
7,Ποιος τάχα απ᾿ τους θεούς τους έσπρωξε να μπούνε σ᾿ έτοια αμάχη;,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Qui, parmi les dieux, les a poussés à entrer en guerre?"
8,"Του Δία και της Λητώς τους έσπρωξεν ο γιος, που με το ρήγα",0.75,0.125,0.0,0.125,"[0.75, 0.125, 0.0, 0.125]",Le fils de Zeus et de Lite les poussa par le roi.
9,χολιάζοντας κακιά εξεσήκωσεν αρρώστια και πέθαιναν,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]","Ils engloutirent le mal, élevèrent la maladie et moururent."
10,"στρατός πολύς᾿ τι δε σεβάστηκεν ο γιος του Ατρέα το Χρύση,",0.5,0.0,0.5,0.0,"[0.5, 0.0, 0.5, 0.0]","une armée de beaucoup de ce que le fils d'Atrea n'a pas respecté,"
11,του θεού το λειτουργό· στ᾿ Αργίτικα γοργά καράβια είχε έρθει,0.75,0.125,0.0,0.125,"[0.75, 0.125, 0.0, 0.125]",le serviteur de Dieu; dans les bateaux d'Argitica rapide était venu
12,"με λύτρα αρίφνητα, την κόρη του να ξαγοράσει πίσω,",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","Avec une rançon impeccable, sa fille à racheter,"
13,του μακροσαγιτάρη Απόλλωνα κρατώντας τα στεφάνια,0.5,0.375,0.0,0.125,"[0.5, 0.375, 0.0, 0.125]","Apollon, l'Apocalypse de l'Apocalypse, tenant les couronnes"
14,"πα στο χρυσό ραβδί, και πρόσπεφτε μπρος στους Αργίτες όλους,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","aller à la baguette d'or, et se présenter devant tous les Argytes,"
15,ξεχωριστά στους δυο πολέμαρχους υγιούς του Ατρέα γυρνώντας:,0.625,0.25,0.125,0.0,"[0.625, 0.25, 0.125, 0.0]",individuellement aux deux seigneurs de guerre en bonne santé d'Atrea en rentrant:
16,"« Του Ατρέα βλαστάρια κι αποδέλοιποι καλαντρειωμένοι Αργίτες,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]",".. les pousses d'Atrea et les ancêtres d'Argytes célèbres,"
17,σε σας οι θεοί που ζουν στον Όλυμπο να δώσουν να πατήστε,0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]",à vous les dieux qui vivent dans l'Olympe donner à appuyer
18,"του Πρίαμου το καστρί, με το καλό να γύρτε στην πατρίδα'",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","de Priam, le castri, avec le bien de rentrer à la maison."
19,"λυτρώστε όμως κι εμέ την κόρη μου, την ξαγορά δεχτείτε",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]",Mais rédemptez-moi aussi ma fille. Acceptez le marché.
20,Οι Αργίτες οι άλλοι ευτύς με μια φωνή να σεβαστούν έκραξαν,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",Les Argytes ont crié d'une seule voix:
21,κι ευλαβηθείτε τον Απόλλωνα το μακροσαγιτάρη.»,0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]",Et priez Apollon le Grand.
22,"το λειτουργό, και τα περίλαμπρα ν᾿ αποδεχτούνε δώρα·",0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]",L'assistant et le collier acceptent des cadeaux;
23,"όμως του Ατρείδη του Αγαμέμνονα δεν άρεσε η βουλή τους,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","Mais Atreides d'Agamemnon n'aimait pas leur conseil,"
24,"μον᾿ τον κακόδιωχνε, και του 'ριχνε βαριά φοβέρα ακόμα:",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]","Il le persécutait, et il lui faisait encore peur:"
25,"«Το νου σου, εγώ μη σ᾿ έβρω, γέροντα, στα βαθουλά καράβια,",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","Je ne te trouverai pas, vieil homme, dans les bateaux profonds."
